
--- Dataset: BHSig260_Bengali ---
Writer writer_020: Forged = 30, Genuine = 24
Writer writer_027: Forged = 30, Genuine = 24
Writer writer_018: Forged = 30, Genuine = 24
Writer writer_011: Forged = 30, Genuine = 24
Writer writer_016: Forged = 30, Genuine = 24
Writer writer_029: Forged = 30, Genuine = 24
Writer writer_089: Forged = 30, Genuine = 24
Writer writer_042: Forged = 30, Genuine = 24
Writer writer_045: Forged = 30, Genuine = 24
Writer writer_087: Forged = 30, Genuine = 24
Writer writer_073: Forged = 30, Genuine = 24
Writer writer_074: Forged = 30, Genuine = 24
Writer writer_080: Forged = 30, Genuine = 24
Writer writer_017: Forged = 30, Genuine = 24
Writer writer_028: Forged = 30, Genuine = 24
Writer writer_010: Forged = 30, Genuine = 24
Writer writer_026: Forged = 30, Genuine = 24
Writer writer_019: Forged = 30, Genuine = 24
Writer writer_021: Forged = 30, Genuine = 24
Writer writer_081: Forged = 30, Genuine = 24
Writer writer_075: Forged = 30, Genuine = 24
Writer writer_072: Forged = 30, Genuine = 24
Writer writer_086: Forged = 30, Genuine = 24
Writer writer_044: Forged = 30, Genuine = 24
Writer writer_088: Forged = 30, Genuine = 24
Writer writer_043: Forged = 30, Genuine = 24
Writer writer_100: Forged = 30, Genuine = 24
Writer writer_095: Forged = 30, Genuine = 24
Writer writer_061: Forged = 30, Genuine = 24
Writer writer_066: Forged = 30, Genuine = 24
Writer writer_092: Forged = 30, Genuine = 24
Writer writer_059: Forged = 30, Genuine = 24
Writer writer_050: Forged = 30, Genuine = 24
Writer writer_057: Forged = 30, Genuine = 24
Writer writer_068: Forged = 30, Genuine = 24
Writer writer_003: Forged = 30, Genuine = 24
Writer writer_004: Forged = 30, Genuine = 24
Writer writer_032: Forged = 30, Genuine = 24
Writer writer_035: Forged = 30, Genuine = 24
Writer writer_056: Forged = 30, Genuine = 24
Writer writer_069: Forged = 30, Genuine = 24
Writer writer_051: Forged = 30, Genuine = 24
Writer writer_093: Forged = 30, Genuine = 24
Writer writer_067: Forged = 30, Genuine = 24
Writer writer_058: Forged = 30, Genuine = 24
Writer writer_060: Forged = 30, Genuine = 24
Writer writer_094: Forged = 30, Genuine = 24
Writer writer_034: Forged = 30, Genuine = 24
Writer writer_033: Forged = 30, Genuine = 24
Writer writer_005: Forged = 30, Genuine = 24
Writer writer_002: Forged = 30, Genuine = 24
Writer writer_079: Forged = 30, Genuine = 24
Writer writer_046: Forged = 30, Genuine = 24
Writer writer_041: Forged = 30, Genuine = 24
Writer writer_048: Forged = 30, Genuine = 24
Writer writer_077: Forged = 30, Genuine = 24
Writer writer_083: Forged = 30, Genuine = 24
Writer writer_084: Forged = 30, Genuine = 24
Writer writer_070: Forged = 30, Genuine = 24
Writer writer_024: Forged = 30, Genuine = 24
Writer writer_023: Forged = 30, Genuine = 24
Writer writer_015: Forged = 30, Genuine = 24
Writer writer_012: Forged = 30, Genuine = 24
Writer writer_071: Forged = 30, Genuine = 24
Writer writer_085: Forged = 30, Genuine = 24
Writer writer_049: Forged = 30, Genuine = 24
Writer writer_082: Forged = 30, Genuine = 24
Writer writer_076: Forged = 30, Genuine = 24
Writer writer_040: Forged = 30, Genuine = 24
Writer writer_078: Forged = 30, Genuine = 24
Writer writer_047: Forged = 30, Genuine = 24
Writer writer_013: Forged = 30, Genuine = 24
Writer writer_014: Forged = 30, Genuine = 24
Writer writer_022: Forged = 30, Genuine = 24
Writer writer_025: Forged = 30, Genuine = 24
Writer writer_038: Forged = 30, Genuine = 24
Writer writer_007: Forged = 30, Genuine = 24
Writer writer_009: Forged = 30, Genuine = 24
Writer writer_036: Forged = 30, Genuine = 24
Writer writer_031: Forged = 30, Genuine = 24
Writer writer_065: Forged = 30, Genuine = 24
Writer writer_091: Forged = 30, Genuine = 24
Writer writer_096: Forged = 30, Genuine = 24
Writer writer_062: Forged = 30, Genuine = 24
Writer writer_054: Forged = 30, Genuine = 24
Writer writer_053: Forged = 30, Genuine = 24
Writer writer_098: Forged = 30, Genuine = 24
Writer writer_030: Forged = 30, Genuine = 24
Writer writer_008: Forged = 30, Genuine = 24
Writer writer_037: Forged = 30, Genuine = 24
Writer writer_001: Forged = 30, Genuine = 24
Writer writer_039: Forged = 30, Genuine = 24
Writer writer_006: Forged = 30, Genuine = 24
Writer writer_052: Forged = 30, Genuine = 24
Writer writer_099: Forged = 30, Genuine = 24
Writer writer_055: Forged = 30, Genuine = 24
Writer writer_063: Forged = 30, Genuine = 24
Writer writer_097: Forged = 30, Genuine = 24
Writer writer_090: Forged = 30, Genuine = 24
Writer writer_064: Forged = 30, Genuine = 24

Total in BHSig260_Bengali: Forged = 3000, Genuine = 2400

--- Dataset: BHSig260_Hindi ---
